t,x_actual,y_actual,x_deseada,y_deseada,Ref_Izq,Ref_Der,Vel_Lineal,Vel_Angular,error_x,error_y
0.05,0.3,0.0,0.0249760000000037,0.0249760000000037,2.8723361800003713,2.158454620000374,-2.85552623999999,0.9582458666668086,-0.27502399999999627,0.0249760000000037
0.1,0.3,0.0,0.04047600000000212,0.0249760000000037,0.3233847350000544,0.3409768650000441,0.07036851999995863,0.1265450666666854,-0.25952399999999787,0.0249760000000037
0.15000000000000002,0.3,0.0,0.05597600000000099,0.0249760000000037,0.32296891500005254,0.3457634850000464,0.09117827999997535,0.12737760000001885,-0.244023999999999,0.0249760000000037
0.2,0.3,0.0,0.07147600000000078,0.0249760000000037,0.322533720000049,0.3505694800000507,0.11214304000000674,0.12821013333335232,-0.22852399999999923,0.0249760000000037
0.25,0.0003347497543163547,-0.008563053253641664,0.08697600000000182,0.0249760000000037,0.6746769663426245,1.5703626817389083,3.5827428615851344,0.42762659963457766,0.08664125024568546,0.03353905325364537
0.3,0.0003347497543163547,-0.008563053253641664,0.10247600000000352,0.0249760000000037,0.3651521816158454,0.5176914791010906,0.6101571899409809,0.16816069727941638,0.10214125024568717,0.03353905325364537
0.35,0.0010065488860300231,-0.009189632438351674,0.11797600000000488,0.0249760000000037,0.43217528793172966,0.5888837010181954,0.6268336523458632,0.1944874264666524,0.11696945111397486,0.034165632438355374
0.39999999999999997,0.0010065488860300231,-0.009189632438351674,0.1334760000000049,0.0249760000000037,0.3759137433422305,0.540442526982361,0.6581151345605218,0.17454405149039837,0.13246945111397487,0.034165632438355374
0.44999999999999996,0.0010065488860300231,-0.009189632438351674,0.14897600000000377,0.0249760000000037,0.3754047451029362,0.5461161021586259,0.6828454282227588,0.17552778043077374,0.14796945111397375,0.034165632438355374
0.49999999999999994,0.003159978452154155,-0.005312238399232429,0.16447600000000256,0.0249760000000037,-0.039348146716130246,0.13137482034378467,0.6828918682396596,0.01752889021479132,0.1613160215478484,0.03028823839923613
0.5499999999999999,0.003159978452154155,-0.005312238399232429,0.1799760000000024,0.0249760000000037,0.29409351528175876,0.47651726451014187,0.7296949969135323,0.14678300567464775,0.17681602154784826,0.03028823839923613
0.6,0.003173671480644069,-0.0035339407790209876,0.19547600000000367,0.0249760000000037,0.09757652760112136,0.2862350049602629,0.754633909436566,0.0731069585831208,0.1923023285193596,0.02850994077902469
0.65,0.003173671480644069,-0.0035339407790209876,0.21097600000000544,0.0249760000000037,0.2505037242551421,0.44556791708738375,0.7802567713289663,0.1325850745414335,0.20780232851936137,0.02850994077902469
0.7000000000000001,0.003173671480644069,-0.0035339407790209876,0.22647600000000667,0.0249760000000037,0.24785179525739606,0.44928712435981333,0.8057413164096692,0.13278836564137322,0.2233023285193626,0.02850994077902469
0.7500000000000001,0.003173671480644069,-0.0035339407790209876,0.24197600000000663,0.0249760000000037,0.24516856496826062,0.45301377884242205,0.8313808554966458,0.1329871131067967,0.23880232851936256,0.02850994077902469
0.8000000000000002,0.003173671480644069,-0.0035339407790209876,0.2574760000000056,0.0249760000000037,0.242454033387731,0.45674788053521076,0.8571753885899189,0.1331813169377032,0.2543023285193615,0.02850994077902469
0.8500000000000002,0.003173671480644069,-0.0035339407790209876,0.27297600000000405,0.0249760000000037,0.2397082005158068,0.4604894294381797,0.8831249156894916,0.13337097713409266,0.26980232851936,0.02850994077902469
0.9000000000000002,0.0007852515905932833,-0.007022820552889853,0.2884760000000024,0.0249760000000037,0.5705424907407461,0.804839891234999,0.937189601977011,0.2619775965668086,0.2876907484094091,0.031998820552893555
0.9500000000000003,0.0007852515905932833,-0.007022820552889853,0.3039760000000012,0.0249760000000037,0.267610515893884,0.5024185186663838,0.9392320110899989,0.14667219705909862,0.3031907484094079,0.031998820552893555
1.0000000000000002,0.0007553248759274989,-0.007351716213494192,0.3194760000000008,0.0249760000000037,0.2994089359403308,0.5409201532726104,0.9660448693291186,0.16006268365960785,0.3187206751240733,0.03232771621349789
1.0500000000000003,0.0007553248759274989,-0.007351716213494192,0.33497600000000166,0.0249760000000037,0.26785860909621106,0.5159352531666644,0.9923065762818135,0.14929406900245248,0.33422067512407416,0.03232771621349789
1.1000000000000003,0.0006816557348339747,-0.003462534812991124,0.35047600000000345,0.0249760000000037,-0.1187019393797632,0.13616101589231544,1.0194518210883146,0.0033255383833432827,0.3497943442651695,0.028438534812994826
1.1500000000000004,0.0006816557348339747,-0.003462534812991124,0.36597600000000496,0.0249760000000037,0.21865984833201713,0.4801539227031356,1.045976297484474,0.1331073849590767,0.365294344265171,0.028438534812994826
1.2000000000000004,0.0024498351970613785,-0.004043133591578711,0.38147600000000526,0.0249760000000037,0.2722804881500854,0.5354745260945415,1.0527761517778242,0.1538580979513575,0.3790261648029439,0.02901913359158241
1.2500000000000004,0.0024498351970613785,-0.004043133591578711,0.39697600000000416,0.0249760000000037,0.21456173797861883,0.48896096076597567,1.0975968911494274,0.13400432357039896,0.3945261648029428,0.02901913359158241
1.3000000000000005,0.002986021321711718,-0.004475039067750141,0.4124760000000029,0.0249760000000037,0.25067074208600454,0.530383568624623,1.118851306154474,0.14877224965916716,0.4094899786782912,0.029451039067753843
1.3500000000000005,0.002986021321711718,-0.004475039067750141,0.4279760000000025,0.0249760000000037,0.20837246417566735,0.49628985052756325,1.1516695454075836,0.13422139327680582,0.4249899786782908,0.029451039067753843
1.4000000000000006,0.0014575574871253383,-0.00463406316735508,0.44347600000000365,0.0249760000000037,0.22142047855996982,0.5206503996439116,1.196919684335767,0.14134683394359646,0.4420184425128783,0.02961006316735878
