t,i_izq,vel_izq,i_izq_est,vel_izq_est,u_izq,ref_vel_izq,i_der,vel_der,i_der_est,vel_der_est,u_der,ref_vel_der
0.0,0.003,0.0,0.0019477564450027876,0.00040241417996568263,-0.006135050442848045,0.0,0.00365,0.0,0.0023697703414200587,0.0004896039189582472,-0.007464311372131789,0.0
0.01,0.003,-0.0,0.0014566497968574374,0.0005308980421010499,-0.005742860935025949,0.0,0.00365,-0.0,0.0017722572528432157,0.0006459259512229439,-0.006987147470948237,0.0
0.02,0.003,-0.0,0.0010329475433104327,0.0006044491456240866,-0.005217203532176097,0.0,0.00365,-0.0,0.0012567528443610267,0.0007354131271759722,-0.0063475976308142515,0.0
0.03,0.003,-0.0,0.0006915951439256994,0.000629454491495416,-0.004621720680915407,0.0,0.00365,-0.0,0.0008414407584429343,0.0007658362979860895,-0.005623093495113746,0.0
0.04,0.003,-0.0,0.00043284101385794983,0.0006172881903199243,-0.004014052902352084,0.0,0.00365,-0.0,0.0005266232335271723,0.0007510339648892412,-0.004883764364528369,0.0
0.05,0.0031,-0.0,0.00024833854959323113,0.0005809869073711067,-0.0034420338260108437,0.0,0.00365,-0.0,0.00030066451757535765,0.0007061052195412543,-0.004180852702625043,0.0
0.060000000000000005,0.0031,-0.0,0.00012202814483417576,0.0005304168476282467,-0.002921284020072733,0.0,0.00365,-0.0,0.00014661094308235674,0.0006442275117045867,-0.003544718142372949,0.0
0.07,0.0031,-0.0,4.017976103248498e-05,0.0004738812715974149,-0.002464496446693119,0.0,0.00365,-0.0,4.7046880999640356e-05,0.0005753595331567193,-0.002988581313282618,0.0
0.08,0.0031,-0.0,9.509664325471058e-06,0.00041700634788933657,-0.00207393513210185,0.0,0.00365,-0.0,1.3286004437208733e-05,0.0005062325075137565,-0.0025140128317329372,0.0
0.09,0.0031,-0.0,3.6958438124626796e-05,0.00036322146693650937,-0.0017458702370798595,0.0,0.00365,-0.0,4.656290680306557e-05,0.000440938373807505,-0.002115842598361401,0.0
0.09999999999999999,0.0031,-0.0,4.964823587140447e-05,0.00031435779501931625,-0.0014736933109876645,0.0,0.00365,-0.0,6.191755753185523e-05,0.00038165281945222424,-0.0017857025099806468,0.0
0.10999999999999999,0.0031,-0.0,5.2966046068799716e-05,0.0002711783000977015,-0.0012498565494755336,0.0,0.00365,-0.0,6.590495623317927e-05,0.00032927286622213994,-0.0015142506973899186,0.0
0.11999999999999998,0.0031,-0.0,5.065349626302525e-05,0.0002337819978228487,-0.001066953615733458,0.0,0.00365,-0.0,6.30684689823307e-05,0.00028390212713516095,-0.0012924103738604798,0.0
0.12999999999999998,0.00297,-0.0,4.583489172891198e-05,0.00020215049420880415,-0.0009182925813250026,0.0,0.00365,-0.0,5.646253098096167e-05,0.0002451895442204354,-0.0011119667071834757,0.0
0.13999999999999999,0.00297,-0.0,3.93587933546751e-05,0.00017541012943959874,-0.0007976938703583132,0.0,0.00365,-0.0,4.80789899446835e-05,0.00021255200030489193,-0.000965784100585249,0.0
