t,i_izq,vel_izq,i_izq_est,vel_izq_est,u_izq,ref_vel_izq,i_der,vel_der,i_der_est,vel_der_est,u_der,ref_vel_der
0.0,0.00283,0.0,0.0010739924079915366,0.00039128714714972587,-0.0016754808885095208,0.0,0.0036,0.0,0.0013878787567848433,0.0009581908940829043,-0.0014028040787577509,0.0
0.025,0.00283,-0.0,0.001028986054246146,0.0005766267055393108,-0.0021349746986515897,0.0,0.0036,-0.0,0.00020669157676003576,0.00034953987473835873,-0.0003936342421148204,0.0
0.05,0.00283,-0.0,0.0010039373192526598,0.0007600969713196634,-0.00260160304814632,0.0,0.0036,-0.0,4.369312974229181e-05,0.00018643253036761207,-0.00018371809899197356,0.0
0.07500000000000001,0.00283,-0.0,0.0009797743415745522,0.0009386673406683028,-0.003055900079233072,0.0,0.0036,-0.0,9.737275156446474e-06,0.00011927600992767287,-0.00011035853407855233,0.0
0.1,0.00283,-0.0,0.0009564680409841302,0.0011109082362309602,-0.0034940945614866173,0.0,0.00365,-0.0,2.397261199655877e-06,8.577090287478562e-05,-7.754323361318777e-05,0.0
0.125,0.00283,-0.0,0.0009341508697262887,0.0012758261835161507,-0.003913657824139362,0.0,0.00365,-0.0,1.4602066638834805e-06,6.721530370897282e-05,-6.0602659480207226e-05,0.0
0.15,0.00283,-0.0,0.0009129241313071692,0.0014326746094105356,-0.004312690696836836,0.0,0.00365,-0.0,2.0089226282694897e-06,5.6293776188429886e-05,-5.1065415829484554e-05,0.0
0.175,0.00285,-0.0,0.0009002284350078985,0.0015836191145175084,-0.004701369261053464,0.0,0.00365,-0.0,2.7456222235115586e-06,4.960781444580889e-05,-4.5384872620793296e-05,0.0
0.19999999999999998,0.00285,-0.0,0.0008811564800308811,0.0017251829520048049,-0.005061569181065827,0.0,0.00365,-0.0,3.3572624008286028e-06,4.540210075356334e-05,-4.1870034078010085e-05,0.0
0.22499999999999998,0.00285,-0.0,0.0008632807102165219,0.0018572498727309373,-0.005397554570445726,0.0,0.00365,-0.0,3.804582774146448e-06,4.270344373095206e-05,-3.9636309340370144e-05,0.0
0.24999999999999997,0.00285,-0.0,0.0008466853722278258,0.0019798430787509483,-0.005709437187495413,0.0,0.00365,-0.0,4.116053234208588e-06,4.094506045905247e-05,-3.8188751739934917e-05,0.0
0.27499999999999997,0.00285,-0.0,0.0008313532389209542,0.0020930985469605496,-0.005997563675532301,0.0,0.00365,-0.0,4.328573062518082e-06,3.9784988345710744e-05,-3.723651462730856e-05,0.0
0.3,0.00285,-0.0,0.0008172523631862208,0.002197253608737677,-0.0062625379249896,0.0,0.00362,-0.0,4.427881347775951e-06,3.8966901407834916e-05,-3.654506293629606e-05,0.0
0.325,0.00285,-0.0,0.0008043391464838323,0.0022926314909259937,-0.006505182333837705,0.0,0.00362,-0.0,4.511184889065833e-06,3.839784940601012e-05,-3.606970462926504e-05,0.0
