t,i_izq,vel_izq,i_izq_est,vel_izq_est,u_izq,ref_vel_izq,i_der,vel_der,i_der_est,vel_der_est,u_der,ref_vel_der
0.0,0.003,0.0,0.0019514251994886035,0.00040266343265317863,-0.005954182866255877,0.0,0.0036,0.0,0.00235793048168183,0.0004846127775968088,-0.006463370139162249,0.0
0.01,0.003,-0.0,0.0017714684135692,0.0005695843950140343,-0.006353282552925082,0.0,0.0036,-0.0,0.0021442935965245453,0.0006858983882580781,-0.006941748936134319,0.0
0.02,0.003,-0.0,0.0017152181106243648,0.0007231911499467517,-0.006949355101524665,0.0,0.0036,-0.0,0.002077940015773189,0.0008711214814094041,-0.007622793703661367,0.0
0.03,0.003,-0.0,0.0016813892507953408,0.0008565943455584076,-0.00749846121732321,0.0,0.0036,-0.0,0.0020382665140689397,0.0010320060723321913,-0.008247563578281622,0.0
0.04,0.003,-0.0,0.0016551320892078062,0.000966479927544991,-0.007954130139549789,0.0,0.0036,-0.0,0.0020075143264291816,0.001164569319077141,-0.008765934740987063,0.0
0.05,0.0030299999999999997,-0.0,0.0016497592807253002,0.001056995219045015,-0.008363488435898505,0.0,0.0036,-0.0,0.0019832902905922403,0.001269529279122387,-0.009176597494142064,0.0
0.060000000000000005,0.0030299999999999997,-0.0,0.0016355090708457002,0.0011265187117435894,-0.00865672862935849,0.0,0.0036,-0.0,0.0019646376027878123,0.0013501676132823643,-0.009492022771346422,0.0
0.07,0.0030299999999999997,-0.0,0.0016233872646474329,0.0011786180848656356,-0.008873457042367064,0.0,0.0036,-0.0,0.0019505921557513178,0.001410726449297108,-0.009728835816989346,0.0
0.08,0.0030299999999999997,-0.0,0.0016142361284630844,0.0012170087275980468,-0.009032700427142486,0.0,0.0036,-0.0,0.0019401996992425771,0.0014554365713922899,-0.009903630880139708,0.0
0.09,0.0030299999999999997,-0.0,0.0016075357652625536,0.0012449524269244248,-0.009148527611248602,0.0,0.0036,-0.0,0.0019326107489717435,0.0014880301567281747,-0.0100310323125068,0.0
0.09999999999999999,0.0030299999999999997,-0.0,0.0016026924729081466,0.0012651088952993466,-0.009232055315759147,0.0,0.0036,-0.0,0.0019271227842275619,0.0015115700875783066,-0.010123031926567126,0.0
0.10999999999999999,0.0030299999999999997,-0.0,0.0015992181324174777,0.001279552078372437,-0.009291899280460866,0.0,0.0036,-0.0,0.001923182455166475,0.001528455504143527,-0.010189017173134552,0.0
0.11999999999999998,0.0030299999999999997,-0.0,0.0015967387970555495,0.0012898513637837272,-0.009334569590901523,0.0,0.0036,-0.0,0.001920368063266103,0.00154050747164095,-0.010236110483730267,0.0
0.12999999999999998,0.003,-0.0,0.0015796677994305533,0.0012936160725867108,-0.009316344244824033,0.0,0.0035499999999999998,-0.0,0.0018926703490152377,0.0015431397762884233,-0.010196312368073,0.0
0.13999999999999999,0.003,-0.0,0.0015767518612256398,0.0012960456644028132,-0.009321532667468848,0.0,0.0035499999999999998,-0.0,0.0018884017647764371,0.0015446053656830408,-0.010194778316517964,0.0
0.15,0.003,-0.0,0.0015760083979543035,0.001297736972519138,-0.009327836117377381,0.0,0.0035499999999999998,-0.0,0.0018876011921423663,0.001545596490910877,-0.010197598693330655,0.0
0.16,0.003,-0.0,0.0015756721670882904,0.0012989313850254413,-0.009332682710030715,0.0,0.0035499999999999998,-0.0,0.0018873552542740333,0.0015462963617884123,-0.010200180882434663,0.0
0.17,0.003,-0.0,0.0015754616064483228,0.001299776107268004,-0.009336167335319064,0.0,0.0035499999999999998,-0.0,0.0018872271505300355,0.0015467935320935473,-0.010202101387204404,0.0
0.18000000000000002,0.003,-0.0,0.0015753167093469122,0.0013003730474041067,-0.009338637976537788,0.0,0.0035499999999999998,-0.0,0.0018871429619877389,0.0015471463562531003,-0.010203476732520205,0.0
0.19000000000000003,0.003,-0.0,0.0015752149607920372,0.0013007944918887785,-0.009340383419596556,0.0,0.0035499999999999998,-0.0,0.0018870842818754971,0.0015473962967919377,-0.010204452800274018,0.0
0.20000000000000004,0.003,-0.0,0.0015751432525351755,0.0013010918123372976,-0.009341614947205621,0.0,0.0035499999999999998,-0.0,0.0018870429068165175,0.0015475730908537317,-0.010205143460511434,0.0
0.21000000000000005,0.0030499999999999998,-0.0,0.001600606534642121,0.0013072244675218308,-0.009423390493101494,0.0,0.00367,-0.0,0.00194868201057674,0.0015619512516488574,-0.010381523111605718,0.0
0.22000000000000006,0.0030499999999999998,-0.0,0.0016033477511332363,0.0013119682406071104,-0.009451169185508337,0.0,0.00367,-0.0,0.0019554955059454997,0.0015731136009160276,-0.010442560639862803,0.0
0.23000000000000007,0.0030499999999999998,-0.0,0.0016030876770353126,0.0013153697051356546,-0.009466430704195982,0.0,0.00367,-0.0,0.0019549871087921468,0.0015811276670825562,-0.010476396435967166,0.0
0.24000000000000007,0.0030499999999999998,-0.0,0.0016025887242262415,0.0013177734978372469,-0.00947655648613649,0.0,0.00367,-0.0,0.0019538591756896855,0.0015867956379762426,-0.01049890597603589,0.0
0.25000000000000006,0.0030499999999999998,-0.0,0.0016021918714650375,0.0013194672543722448,-0.009483596552502057,0.0,0.00367,-0.0,0.0019529528897454297,0.0015907921160759515,-0.010514572184306742,0.0
0.26000000000000006,0.0030499999999999998,-0.0,0.0016019058851513034,0.0013206599868838074,-0.00948854046913787,0.0,0.00367,-0.0,0.0019522981904332563,0.0015936082600093754,-0.010525581743809891,0.0
0.2700000000000001,0.0030499999999999998,-0.0,0.0016017035797361533,0.0013214997963707517,-0.009492019539200966,0.0,0.00367,-0.0,0.0019518345812303385,0.0015955924161731032,-0.010533334382233847,0.0
0.2800000000000001,0.0030499999999999998,-0.0,0.0016015610035073967,0.0013220910949387655,-0.00949446882170616,0.0,0.0036,-0.0,0.001915534421614526,0.0015886759512819234,-0.010436192392650569,0.0
0.2900000000000001,0.00297,-0.0,0.0015606384621813301,0.0013130305888378218,-0.00936674176553224,0.0,0.0036,-0.0,0.0019113174360426521,0.0015832009221566734,-0.010404635881261337,0.0
0.3000000000000001,0.00297,-0.0,0.0015561248109538658,0.0013059700817499315,-0.009324489234075676,0.0,0.0036,-0.0,0.0019114431675045734,0.0015792562481544232,-0.010387751011224342,0.0
0.3100000000000001,0.00297,-0.0,0.0015564509834893752,0.0013009006936752746,-0.009301615625759214,0.0,0.0036,-0.0,0.0019119807616452566,0.0015764644128661862,-0.010376630376331523,0.0
0.3200000000000001,0.00297,-0.0,0.0015571859627278415,0.0012973172785899138,-0.009286502311588458,0.0,0.0036,-0.0,0.0019124246216205626,0.0015744956203369242,-0.010368907884609297,0.0
0.3300000000000001,0.00297,-0.0,0.0015577763188634876,0.0012947922289851081,-0.009276004331487318,0.0,0.0036,-0.0,0.0019127467780014388,0.001573108262836275,-0.010363483388709169,0.0
0.34000000000000014,0.00297,-0.0,0.001558202485033445,0.0012930141003942087,-0.009268633545513582,0.0,0.0036,-0.0,0.0019129751184753564,0.0015721307765782658,-0.010359663982633726,0.0
