t,i_izq,vel_izq,i_izq_est,vel_izq_est,u_izq,ref_vel_izq,i_der,vel_der,i_der_est,vel_der_est,u_der,ref_vel_der
0.0,0.00297,0.0,0.0009534707725448502,0.00019621160677513744,-0.0029993328426796665,0.0,0.0035499999999999998,0.0,0.0011396704520317232,0.00023452902493324506,-0.0035850611419235073,0.0
0.01,0.00297,-0.0,0.0008250032553534978,0.00030346818967446227,-0.003266562566094272,0.0,0.0035499999999999998,-0.0,0.000986115002190208,0.00036273133782637737,-0.0039044771412911324,0.0
0.02,0.00297,-0.0,0.0005827368610398509,0.0003511529383623524,-0.002994267994738083,0.0,0.0035499999999999998,-0.0,0.000696537325485344,0.0004197282596587041,-0.0035790071990977087,0.0
0.03,0.00297,-0.0,0.00036760550676463553,0.0003561251376618737,-0.0025648079083870974,0.0,0.0035499999999999998,-0.0,0.00043939378754695506,0.0004256714608416336,-0.003065679486455959,0.0
0.04,0.00292,-0.0,0.0002078066343623838,0.0003349114022029056,-0.002120733990769922,0.0,0.0035499999999999998,-0.0,0.00024891751480224356,0.0004009509253977282,-0.002539195184969598,0.0
0.05,0.00292,-0.0,0.00010029966412975242,0.0003015227001136129,-0.001725980462456024,0.0,0.0035499999999999998,-0.0,0.00012037079538990398,0.00036134444630165957,-0.002068775831197171,0.0
0.060000000000000005,0.00292,-0.0,3.2446523850440755e-05,0.00026429785613282943,-0.0013957254661518426,0.0,0.0035499999999999998,-0.0,3.907946135890443e-05,0.00031695024999244654,-0.001674133605322215,0.0
0.07,0.00292,-0.0,7.885181398463531e-06,0.00022787252342696651,-0.0011276196008602564,0.0,0.0035499999999999998,-0.0,9.309877235242562e-06,0.0002733977342907786,-0.001353217782314581,0.0
0.08,0.00292,-0.0,3.009678439585482e-05,0.00019448745631819717,-0.0009130562386282894,0.0,0.0036,-0.0,3.597511618680611e-05,0.00023348252172738102,-0.0010964553522871232,0.0
0.09,0.00292,-0.0,4.0830116099529486e-05,0.00016499624735630684,-0.0007422920113592405,0.0,0.0036,-0.0,4.889344854824382e-05,0.00019816012300486946,-0.0008917940107044875,0.0
0.09999999999999999,0.00292,-0.0,4.455133396286319e-05,0.0001395120472254921,-0.000606461116337123,0.0,0.0036,-0.0,5.339658077732486e-05,0.0001675998054883556,-0.0007288214235501321,0.0
0.10999999999999999,0.00292,-0.0,4.417180400649666e-05,0.00011778646828973041,-0.0004981664959072613,0.0,0.0036,-0.0,5.2969637046711404e-05,0.00014152416770827833,-0.0005987828722248566,0.0
