t,i_izq,vel_izq,i_izq_est,vel_izq_est,u_izq,ref_vel_izq,i_der,vel_der,i_der_est,vel_der_est,u_der,ref_vel_der
0.0,0.0030800000000000003,0.0,0.002091044375940957,0.0004211242510725091,-0.0024600749880846996,0.0,0.00372,0.0,0.002525547103409208,0.0005086305889577059,-0.0029712594011932084,0.0
0.01,0.0030800000000000003,-0.0,0.0019233397474835588,0.0005981496662548154,-0.0026469513111408117,0.0,0.00378,-0.0,0.0023552032563712976,0.0007294890221046181,-0.003235883935741801,0.0
0.02,0.0030800000000000003,-0.0,0.0018764308358249747,0.000761346091001948,-0.002906402255687828,0.0,0.00378,-0.0,0.002302487543301686,0.0009314986774167605,-0.003561370675247526,0.0
0.03,0.0030800000000000003,-0.0,0.0018506850629626962,0.000903465156409193,-0.003144570684990376,0.0,0.00378,-0.0,0.0022714835056209,0.0011068868077695876,-0.0038559148149569043,0.0
0.04,0.0030800000000000003,-0.0,0.0018311160311405927,0.0010209725444049373,-0.003342884720467188,0.0,0.00378,-0.0,0.0022474775561926895,0.001251702124692335,-0.004100405384185926,0.0
0.05,0.0030800000000000003,-0.0,0.0018157187033402506,0.0011143844012694456,-0.0035006620561838495,0.0,0.00378,-0.0,0.0022285309366457382,0.0013667410968360705,-0.004294724606082741,0.0
0.060000000000000005,0.0030800000000000003,-0.0,0.0018038336113488462,0.0011864647803885154,-0.0036224063025323363,0.0,0.00378,-0.0,0.00221390191862112,0.001455474646864676,-0.004444597756470956,0.0
0.07,0.0030299999999999997,-0.0,0.001768188185249373,0.0012348297390495796,-0.0036816971186163032,0.0,0.00365,-0.0,0.0021335206924032405,0.0015067567365159523,-0.004472993759192232,0.0
0.08,0.0030299999999999997,-0.0,0.001758195197675429,0.0012704686950628116,-0.0037385593911654657,0.0,0.00365,-0.0,0.0021166754644577034,0.0015441617020427064,-0.004527528019889907,0.0
0.09,0.0030299999999999997,-0.0,0.0017532584792223813,0.0012966270244227668,-0.0037822362483919173,0.0,0.00365,-0.0,0.0021105422527201924,0.0015716811386328113,-0.00457271696253109,0.0
