t,i_izq,vel_izq,i_izq_est,vel_izq_est,u_izq,ref_vel_izq,i_der,vel_der,i_der_est,vel_der_est,u_der,ref_vel_der
95.37500000000456,0.28105,0.0,0.24060379598217935,1.179745575221219,3.0600843898416796,1.837499976158142,0.06275,0.0,0.038446842625280114,1.827622085439328,1.5311500366106476,1.837499976158142
95.40000000000457,0.28105,0.0,0.2505656540591328,1.1062043889227406,3.247172454794206,1.837499976158142,0.06275,1.27758101222,0.03844368143089673,1.8279464754672716,1.5305305407050942,1.837499976158142
95.42500000000457,0.28105,1.5320500171130003,0.23937681168886177,1.1957988139342033,3.01867331854564,1.837499976158142,0.06275,1.5320500171130003,0.03838358859564147,1.8284793129880321,1.5295582282771445,1.837499976158142
95.45000000000458,0.28105,0.0,0.2486736343384061,1.1202522942906028,3.2114281402919898,1.837499976158142,0.06275,0.0,0.03844620987318577,1.8276500174602666,1.5310969913660037,1.837499976158142
95.47500000000458,0.28105,0.0,0.25761688410014144,1.0541521138472711,3.379592786586934,1.837499976158142,0.06275,1.27758101222,0.03844041370129036,1.8279732704749736,1.5304818483091291,1.837499976158142
95.50000000000459,0.32498,1.5320500171130003,0.2617261267419553,1.1562155192351606,3.109122338796322,1.837499976158142,0.06275,1.5320500171130003,0.03837947931151156,1.8285043210855763,1.5295136565403271,1.837499976158142
95.5250000000046,0.32498,0.0,0.26973516726781077,1.091623025851018,3.2738919263750557,1.837499976158142,0.060700000000000004,1.27758101222,0.03832311340750481,1.8287803995856662,1.5290306736053334,1.837499976158142
95.5500000000046,0.32498,1.27758101222,0.2607835911170903,1.1634763771121386,3.0906260362648577,1.837499976158142,0.060700000000000004,0.0,0.03839133063005826,1.8279248067147593,1.5306152552595989,1.837499976158142
95.57500000000461,0.32498,1.27758101222,0.2522763191677311,1.2263448964295605,2.9306837796177194,1.837499976158142,0.060700000000000004,1.27758101222,0.03839044242777706,1.8282241411652036,1.5300419360236646,1.837499976158142
95.60000000000461,0.32498,0.0,0.26142403353611915,1.1529812728636726,3.1177968822687165,1.837499976158142,0.060700000000000004,1.27758101222,0.03835758206951123,1.8285128326003408,1.5295153860475863,1.837499976158142
95.62500000000462,0.32498,0.0,0.27011020760828075,1.0887913527194721,3.281100826695817,1.837499976158142,0.060700000000000004,1.27758101222,0.03831416777268361,1.8287828856675477,1.5290332808671603,1.837499976158142
95.65000000000462,0.32498,1.5320500171130003,0.2578129584721872,1.18656743351676,3.0317877117455745,1.837499976158142,0.060700000000000004,0.0,0.0383877838133477,1.8279248657090659,1.5306180661928015,1.837499976158142
95.67500000000463,0.32498,0.0,0.2661400947954435,1.1181792686610497,3.2063317595398932,1.837499976158142,0.060700000000000004,1.27758101222,0.03838913688984761,1.8282232700838374,1.5300446828610919,1.837499976158142
95.70000000000464,0.35214999999999996,0.0,0.28424207740088203,1.062027469794362,3.3428481023163696,1.837499976158142,0.060700000000000004,0.0,0.03847606875715551,1.827404328771141,1.5315435468954015,1.837499976158142
95.72500000000464,0.35214999999999996,1.5320500171130003,0.27110966981294216,1.1668638870151924,3.0755004064855185,1.837499976158142,0.06272,1.5320500171130003,0.03845437795010719,1.827964495830145,1.5304871635480382,1.837499976158142
95.75000000000465,0.35214999999999996,0.0,0.2786013754994185,1.1046533223020374,3.2343278639932915,1.837499976158142,0.06272,1.27758101222,0.03840922441675238,1.8282789486734927,1.5299213441378234,1.837499976158142
95.77500000000465,0.35214999999999996,2.554114826889,0.25278016782858637,1.3068539961468428,2.7189846609992894,1.837499976158142,0.06272,0.0,0.038477377544910984,1.8274633292308737,1.531429319210671,1.837499976158142
95.80000000000466,0.35214999999999996,0.0,0.26201691843350416,1.2271361716787987,2.922728447845107,1.837499976158142,0.06272,1.27758101222,0.03847212110528812,1.8278012300948439,1.530785640134988,1.837499976158142
95.82500000000466,0.35214999999999996,0.0,0.2714475556211611,1.1573847619384638,3.1001861346405173,1.837499976158142,0.06272,1.5320500171130003,0.03840979231562255,1.828346560334847,1.529791213043643,1.837499976158142
95.85000000000467,0.35214999999999996,0.0,0.2797142511819719,1.0963572930629655,3.255439459774176,1.837499976158142,0.06272,1.27758101222,0.03835136655990653,1.8286360594519333,1.5292841907777537,1.837499976158142
95.87500000000468,0.35214999999999996,1.27758101222,0.27034843519067775,1.1713317252906992,3.0642284164665714,1.837499976158142,0.06272,0.0,0.03841737059798625,1.8277928814796962,1.5308467882377537,1.837499976158142
95.90000000000468,0.34338,0.0,0.27483997606016114,1.107372383797555,3.2294580428832784,1.837499976158142,0.06197,1.27758101222,0.038414321278944424,1.828103619066763,1.5302533821981257,1.837499976158142
95.92500000000469,0.34338,0.0,0.2823737229593996,1.0514016531556287,3.371876017962513,1.837499976158142,0.06197,1.5320500171130003,0.03835575332184102,1.8286233082399912,1.5293050279971414,1.837499976158142
95.95000000000469,0.34338,1.27758101222,0.27240804879602665,1.1308002385381866,3.169410312401686,1.837499976158142,0.06197,0.0,0.03842036224078351,1.8277817206379752,1.5308657256750102,1.837499976158142
95.9750000000047,0.34338,0.0,0.3199473379322216,1.0768784593337988,4.182731046232257,2.0999999046325684,0.06197,1.27758101222,0.07029185891526511,1.8356251481390657,2.2135176357606805,2.0999999046325684
