t,vel_izq,i_izq,vel_izq_est,i_izq_est,u_izq,vel_der,i_der,vel_der_est,i_der_est,u_der
0.0,0.0,0.0057595865305,-0.00015207657360367016,0.005693591804458236,-0.0015410138430965758,0.0,0.0016755160816000001,-6.438654723009421e-05,0.001646548772053729,-0.00042716825647809344
0.025,0.0,0.0,-7.205956707630461e-05,0.00269781951463954,-0.0007301853016305042,0.0,0.0,-2.883595753822419e-05,0.000737418179967305,-0.00019131023846846382
0.05,0.0,0.0,-4.539589082322578e-05,0.0016995667492022476,-0.0004600006266920748,0.0,0.0,-1.790031640300195e-05,0.00045776245596656134,-0.00011875845618122366
0.07500000000000001,0.0,0.0,-3.1778863270655243e-05,0.0011897622223354602,-0.0003220181668186849,0.0,0.0,-1.2508748800649454e-05,0.0003198846010960404,-8.298846025303765e-05
0.1,0.0,0.0,-2.3410381775586216e-05,0.000876456512586219,-0.0002372196010503604,0.0,0.0,-9.261590141302723e-06,0.000236845436348906,-6.144540253956665e-05
0.125,0.0,0.0,-1.7729731332397147e-05,0.0006637798459049709,-0.00017965704862913555,0.0,0.0,-7.081174831804274e-06,0.00018108596011209168,-4.697958248585391e-05
0.15,0.0,0.0,-1.364356344659221e-05,0.0005107986488289443,-0.00013825152764464083,0.0,0.0,-5.518433540924106e-06,0.0001411221809670674,-3.661167954281005e-05
0.175,0.0,0.0,-1.059957177121002e-05,0.00039683526148713333,-0.00010740647270307005,0.0,0.0,-4.3516436702945966e-06,0.00011128401583337492,-2.8870689908621256e-05
0.19999999999999998,0.0,0.0,-8.282572050530077e-06,0.00031008957377860687,-8.392809454434387e-05,0.0,0.0,-3.457315611074866e-06,8.841348105549958e-05,-2.2937330003592145e-05
0.22499999999999998,0.0,0.0,-6.495196225597912e-06,0.00024317236659007605,-6.581644499103955e-05,0.0,0.0,-2.7600323096317845e-06,7.058194616034755e-05,-1.8311250411681006e-05
0.24999999999999997,0.0,0.0,-5.104831351738033e-06,0.00019111877216782398,-5.1727744940616484e-05,0.0,0.0,-2.2102761122280924e-06,5.652310264933309e-05,-1.4663929559348847e-05
0.27499999999999997,0.0,0.0,-4.017634025075746e-06,0.00015041540681669463,-4.0711070455652214e-05,0.0,0.0,-1.7736424959958496e-06,4.5357128147820486e-05,-1.176711293257088e-05
0.3,0.0,0.0,-3.1647137434270375e-06,0.0001184830930880204,-3.206834760254135e-05,0.0,0.0,-1.42517428363513e-06,3.644579601681436e-05,-9.455223801860226e-06
0.325,0.0,0.0,-2.4942125138390757e-06,9.338033004250623e-05,-2.5274094430029065e-05,0.0,0.0,-1.1461808202322086e-06,2.9311132576725176e-05,-7.604260262859175e-06
0.35000000000000003,0.0,0.0,-1.9664360375698275e-06,7.36210107718917e-05,-1.9926084834417477e-05,0.0,0.0,-9.223398992447109e-07,2.358687790822415e-05,-6.119202590787748e-06
0.37500000000000006,0.0,0.0,-1.550667438938193e-06,5.8055132282078675e-05,-1.5713061784959344e-05,0.0,0.0,-7.424986398843958e-07,1.8987820845999543e-05,-4.926057741357172e-06
0.4000000000000001,0.0,0.0,-1.2229693385299762e-06,4.578650777448245e-05,-1.2392465528866977e-05,0.0,0.0,-5.978751784693547e-07,1.52893839358597e-05,-3.966563025250564e-06
0.4250000000000001,0.0,0.0,-9.646037184481586e-07,3.611360830698276e-05,-9.774421938274496e-06,0.0,0.0,-4.815021355378287e-07,1.2313391291844013e-05,-3.194493827780539e-06
0.4500000000000001,0.0,0.0,-7.60860778575738e-07,2.8485716581511206e-05,-7.70987520037389e-06,0.0,0.0,-3.8782345128795045e-07,9.917758521523256e-06,-2.572988840483706e-06
0.47500000000000014,0.0,0.0,-6.001721659011752e-07,2.2469727315114332e-05,-6.081602086095853e-06,0.0,0.0,-3.123933368285758e-07,7.988794045614121e-06,-2.0725527732581637e-06
0.5000000000000001,0.0,0.0,-4.734297466192644e-07,1.7724642884710943e-05,-4.797309002966366e-06,0.0,0.0,-2.5164628341306856e-07,6.435317574121038e-06,-1.6695304959531302e-06
0.5250000000000001,0.0,0.0,-3.7345726527331e-07,1.3981792878777288e-05,-3.7842782667763142e-06,0.0,0.0,-2.0271841984465147e-07,5.184091702570263e-06,-1.3449218459806583e-06
0.5500000000000002,0.0,0.0,-2.9459803864685093e-07,1.10293978507096e-05,-2.985190164376483e-06,0.0,0.0,-1.6330712042441468e-07,4.1762316843808405e-06,-1.0834502066033366e-06
0.5750000000000002,0.0,0.0,-2.323919238388105e-07,8.700475390520416e-06,-2.3548496402740867e-06,0.0,0.0,-1.315597765823666e-07,3.3643610022971435e-06,-8.728245697334835e-07
0.6000000000000002,0.0,0.0,-1.833215918917881e-07,6.863340913363756e-06,-1.8576152630146283e-06,0.0,0.0,-1.0598518629381129e-07,2.7103453414946666e-06,-7.031516549216906e-07
0.6250000000000002,0.0,0.0,-1.4461291932236155e-07,5.414134557466489e-06,-1.4653765734384675e-06,0.0,0.0,-8.538269852241242e-08,2.183480609666834e-06,-5.664658228866063e-07
0.6500000000000002,0.0,0.0,-1.1407779625755699e-07,4.270936108984948e-06,-1.1559612444666964e-06,0.0,0.0,-6.878541332884925e-08,1.7590404008141838e-06,-4.5635224042133045e-07
0.6750000000000003,0.0,0.0,-8.999025902016665e-08,3.3691275543152537e-06,-9.118799207181193e-07,0.0,0.0,-5.5414573387971e-08,1.4171096554629695e-06,-3.676442939536214e-07
0.7000000000000003,0.0,0.0,-7.098884337931389e-08,2.6577373027109e-06,-7.193367546388982e-07,0.0,0.0,-4.464290115862037e-08,1.1416470868923584e-06,-2.961803524425408e-07
0.7250000000000003,0.0,0.0,-5.599958861715596e-08,2.0965575507286782e-06,-5.67449199330782e-07,0.0,0.0,-3.596510535903828e-08,9.19730947077896e-07,-2.386080945551672e-07
0.7500000000000003,0.0,0.0,-4.41753154683039e-08,1.6538709209832574e-06,-4.4763270609110397e-07,0.0,0.0,-2.8974143200274767e-08,7.409519838835217e-07,-1.922270220362003e-07
0.7750000000000004,0.0,0.0,-3.484773352026334e-08,1.3046574205612033e-06,-3.5311542411087846e-07,0.0,0.0,-2.3342108926154314e-08,5.969247061875253e-07,-1.548616660000735e-07
0.8000000000000004,0.0,0.0,-0.030718995979793728,-0.0037889207823664705,-0.657152244480008,0.0,0.0,0.031521869613184324,0.007448512177876865,0.6756730072058272
0.8250000000000004,0.0,0.0,-0.03047190872935072,-0.013044293912657705,-0.6546471993927634,0.0,0.0,0.03073023146695424,0.027692971242040117,0.6704209366757554
0.8500000000000004,0.0,0.0,-0.03027689355943354,-0.02034542840623991,-0.652671091977434,0.0,0.0,0.03009247302859812,0.04400228457952472,0.6661897708208668
0.8750000000000004,0.0,0.1915324320779,-0.031116867997435765,0.011102321774579961,-0.6611826642278529,0.0,0.1915324320779,0.02838345491757205,0.08770678176257259,0.6548514040632041
0.9000000000000005,0.0,0.0,-0.03078567271377837,-0.0012973460173716358,-0.6578265999178649,0.0,0.18692476285350001,0.027035390799531336,0.122180649574978,0.6459077625158592
0.9250000000000005,0.0,0.0,-0.030524406606320397,-0.011078836272805809,-0.6551791654070495,0.0,0.1915324320779,0.02592061108203473,0.15068876584827884,0.6385118307763203
0.9500000000000005,0.0,0.0,-0.030318306587177137,-0.018794974230438792,-0.653090734157231,0.0,0.1915324320779,0.02502252307480655,0.17365545328604245,0.6325535257468118
0.9750000000000005,0.0,0.0,-0.03015572438786904,-0.024881857116386887,-0.6514432731472286,0.0,0.0,0.02549423306356899,0.16159247528544052,0.6356830542296059
1.0000000000000004,0.0,0.0,-0.03002747126192844,-0.029683500596912132,-0.6501436719282928,0.0,0.1915324320779,0.024679024788325985,0.1824396901509296,0.6302746092581244
1.0250000000000004,0.0,0.0,-0.02992629865845479,-0.033471281739198194,-0.6491184802393343,0.0,0.1915324320779,0.024022277208908573,0.19923461031531295,0.625917461212425
1.0500000000000003,0.0,0.0,-0.029846488551333664,-0.036459276594900024,-0.6483097567736306,0.0,0.18692476285350001,0.023521942033383328,0.21202961648164362,0.622598020836009
1.0750000000000002,0.0,0.0,-0.029783530270238286,-0.0388163592605244,-0.6476717944763876,0.0,0.1915324320779,0.023090108902176554,0.22307282880592522,0.6197330527071918
1.1,0.0,0.0,-0.029733865568545754,-0.04067574622942058,-0.6471685372934977,0.0,0.18692476285350001,0.022770969158577674,0.23123414783167434,0.617615741347845
1.125,0.0,0.0,-0.06041365601008932,-0.045932475423931106,-1.3039235082963465,0.0,0.1915324320779,0.05400699899724735,0.24599240327049862,1.2913923636198787
1.15,0.0,0.0,-0.06013566898870995,-0.05634469898244738,-1.3011053528682894,0.0,0.1915324320779,0.05298506527160361,0.27212618114097376,1.2846124124165876
1.1749999999999998,0.0,0.18692476285350001,-0.06088618266801765,-0.02824625523320545,-1.3087104099304325,0.0,0.5606695688054001,0.04985823563996279,0.3520881873633573,1.2638676696174513
1.1999999999999997,0.0,0.1915324320779,-0.06150213645930057,-0.005185680039114315,-1.3149519294800844,0.0,0.3831695839109,0.04844686062057485,0.388181096595292,1.2545039961147346
1.2249999999999996,0.0,0.1915324320779,-0.06198803226880922,0.013005677316369408,-1.3198755582936708,0.0,0.5747020159888001,0.04611460265935777,0.44782362515487867,1.2390307861077512
1.2499999999999996,0.0,0.5606695688054001,-0.06428668868490996,0.0990648390038809,-1.3431681233685355,0.0,0.7475943316589001,0.04315678411765225,0.5234635328240532,1.2194073361209752
1.2749999999999995,0.0,0.5747020159888001,-0.06617280140343515,0.16967864925633366,-1.3622802865932062,0.0,0.9577668801446001,0.03946236062444771,0.617940542815216,1.1948969296756053
1.2999999999999994,0.0,0.3831695839109,-0.06666685124450794,0.18817517088574584,-1.3672865102363585,0.0,0.9577668801446001,0.03648606131384289,0.6940530567756943,1.1751508702594107
1.3249999999999993,0.0,0.3831695839109,-0.06705658055054417,0.2027661694888207,-1.3712356746520322,0.0,0.7662344480667,0.03528352362634031,0.7248053961657087,1.1671727141168178
1.3499999999999992,0.0,0.7475943316589001,-0.06925492455961745,0.2850697519812221,-1.3935117637343257,0.0,0.9344143747573,0.03326523656880169,0.7764187877683658,1.153782523145241
1.3749999999999991,0.0,0.3831695839109,-0.06909818927936423,0.27920155592279994,-1.3919234916010252,0.0,0.9577668801446001,0.03149353782717501,0.8217262085393864,1.1420283059214649
1.399999999999999,0.0,0.5606695688054001,-0.06989554540806266,0.30905371935647546,-1.4000032061846668,0.0,0.9344143747573,0.030211950407226486,0.8545000764244455,1.1335256995971894
1.424999999999999,0.0,0.9577668801446001,-0.07258497792885105,0.40974308701821444,-1.4272555474760205,0.0,0.9577668801446001,0.029033751200302754,0.8846300110267669,1.1257090154817173
1.4499999999999988,0.0,0.5747020159888001,-0.07271891997306412,0.41475749097818143,-1.4286127335416088,0.0,0.9577668801446001,0.02808457103840797,0.9089032714699661,1.1194117429571877
1.4749999999999988,0.0,0.7662344480667,-0.07381838769629308,0.45592035907126105,-1.439753776124858,0.0,1.1494040319776002,0.026124012744428386,0.9590403729339262,1.1064045496199995
1.4999999999999987,0.0,1.0946356000603,-0.10710866332521682,0.5483972634023997,-2.1229610964917285,0.0,0.9122137866761001,0.05754658428273762,0.9690282218245807,1.7814187703661657
1.5249999999999986,0.0,0.7297919732919,-0.10699688509095111,0.5442074827667291,-2.121827092053713,0.0,1.0946356000603,0.055536558668373565,1.020430344652316,1.7680833893798789
1.5499999999999985,0.0,0.9577668801446001,-0.10809150674061944,0.5851889411307535,-2.132919034755275,0.0,1.1494040319776002,0.05357546954998246,1.0705810208192033,1.7550726743236402
1.5749999999999984,0.0,0.9577668801446001,-0.10895500295249648,0.6175172054586626,-2.141668924641318,0.0,1.1494040319776002,0.05199557807149013,1.1109833794745738,1.7445909896038632
1.5999999999999983,0.0,1.1213391376108002,-0.11048490687961257,0.6747950731921929,-2.15717161404903,0.0,1.3082639004643002,0.0497314477715124,1.1688836882415978,1.7295697680249313
1.6249999999999982,0.0,1.3409364640555002,-0.11283120880936501,0.7626379377150252,-2.180946951669686,0.0,1.5324688961334,0.046508305803578315,1.2513086772738797,1.708186047449678
1.6499999999999981,0.0,1.3409364640555002,-0.11468209413268352,0.8319328681956795,-2.199702150068731,0.0,1.7240013282113003,0.04271645320439579,1.3482772290808416,1.6830292540940266
