t,vel_izq,i_izq,vel_izq_est,i_izq_est,u_izq,ref_vel_izq,vel_der,i_der,vel_der_est,i_der_est,u_der,ref_vel_der
0.47500000000000014,0.0,0.0,-1.0912221198203177e-08,4.0854049663844206e-07,-1.1057458338356088e-07,0.0,0.0,0.0,-1.952458355178599e-08,4.992996278508826e-07,-1.2953454832863523e-07,0.0
0.5000000000000001,0.0,0.0,-8.607813574895709e-09,3.2226623426747144e-07,-8.722380005393386e-08,0.0,0.0,0.0,-1.5727892713316785e-08,4.022073483825649e-07,-1.0434565599707064e-07,0.0
0.5250000000000001,0.0,0.0,-6.790132095878358e-09,2.542144159777687e-07,-6.880505939593294e-08,0.0,0.0,0.0,-1.2669901240290717e-08,3.2400573141064144e-07,-8.405761537379114e-08,0.0
0.5500000000000002,0.0,0.0,-5.356327975397285e-09,2.0053450637653806e-07,-5.4276184806845107e-08,0.0,0.0,0.0,-1.0206695026525917e-08,2.6101448027380253e-07,-6.771563791270854e-08,0.0
0.5750000000000002,0.0,0.0,-4.225307706160188e-09,1.5819046164582564e-07,-4.2815448004983367e-08,0.0,0.0,0.0,-8.222486036397913e-09,2.1027256264357147e-07,-5.455153560834272e-08,0.0
0.6000000000000002,0.0,0.0,-3.3331198525779635e-09,1.2478801660661368e-07,-3.377482296390231e-08,0.0,0.0,0.0,-6.624074143363206e-09,1.6939658384341666e-07,-4.394697843260566e-08,0.0
0.6250000000000002,0.0,0.0,-2.6293258058611172e-09,9.843881013575429e-08,-2.6643210426153936e-08,0.0,0.0,0.0,-5.336418657650776e-09,1.3646753810417713e-07,-3.5404113930412895e-08,0.0
0.6500000000000002,0.0,0.0,-2.0741417501373986e-09,7.765338379972628e-08,-2.101747717212174e-08,0.0,0.0,0.0,-4.299088333053078e-09,1.0994002505088649e-07,-2.8522015026333153e-08,0.0
0.6750000000000003,0.0,0.0,-1.6361865276393928e-09,6.125686462391367e-08,-1.6579634922147613e-08,0.0,0.0,0.0,-3.4634108367481873e-09,8.85693534664356e-08,-2.2977768372101337e-08,0.0
0.7000000000000003,0.0,0.0,-1.2907062432602515e-09,4.832249641292542e-08,-1.3078850084343595e-08,0.0,0.0,0.0,-2.790181322413773e-09,7.13529429307724e-08,-1.85112720276588e-08,0.0
0.7250000000000003,0.0,0.0,-1.018174338493744e-09,3.8119228195066856e-08,-1.0317258169650573e-08,0.0,0.0,0.0,-2.2478190849398927e-09,5.74831841923685e-08,-1.491300590969795e-08,0.0
0.7500000000000003,0.0,0.0,-8.031875539691613e-10,3.007038038151375e-08,-8.138776474383703e-09,0.0,0.0,0.0,-1.810883950017173e-09,4.630949899272011e-08,-1.2014188877262519e-08,0.0
0.7750000000000004,0.0,0.0,-6.335951549138785e-10,2.3721044010203682e-08,-6.420280438379604e-09,0.0,0.0,0.0,-1.4588818078846446e-09,3.730779413672033e-08,-9.678854125004595e-09,0.0
0.8000000000000004,0.0,0.0,-4.998120924165281e-10,1.8712366325872997e-08,-5.064643842240576e-09,0.0,0.0,0.0,-1.1753027327006018e-09,3.005586344482403e-08,-7.797467650256608e-09,0.0
0.8250000000000004,0.0,0.0,-3.942772260050191e-10,1.4761267282039568e-08,-3.99524892478617e-09,0.0,0.0,0.0,-9.468462884612593e-10,2.4213576602377878e-08,-6.281788596779314e-09,0.0
0.8500000000000004,0.0,0.0,-3.1102595983377444e-10,1.1644439551528025e-08,-3.1516558645737025e-09,0.0,0.0,0.0,-7.627975353341907e-10,1.9506921850996077e-08,-5.060729410368007e-09,0.0
0.8750000000000004,0.0,0.0,-2.4535312516225494e-10,9.185727250090014e-09,-2.4861867357387514e-09,0.0,0.0,0.0,-6.145243894994592e-10,1.5715152037355716e-08,-4.077021106217727e-09,0.0
