t,Radianes
0.0,0.0
0.05,0.0
0.1,0.0
0.15000000000000002,0.0
0.2,0.0
0.25,0.0
0.3,0.0
0.35,0.0
0.39999999999999997,0.0
0.44999999999999996,0.0
0.49999999999999994,0.0
0.5499999999999999,0.0
0.6,0.0
0.65,0.0
0.7000000000000001,0.0
0.7500000000000001,0.0
0.8000000000000002,0.0
0.8500000000000002,0.0
0.9000000000000002,0.0
0.9500000000000003,0.0
1.0000000000000002,0.0
1.0500000000000003,0.0
1.1000000000000003,0.0
1.1500000000000004,0.0
1.2000000000000004,0.0
1.2500000000000004,0.0
1.3000000000000005,0.0
1.3500000000000005,0.0
1.4000000000000006,0.0
1.4500000000000006,0.0
1.5000000000000007,0.0
1.5500000000000007,0.0
1.6000000000000008,0.0
1.6500000000000008,0.0
1.7000000000000008,0.0
1.7500000000000009,0.0
1.800000000000001,0.0
1.850000000000001,0.0
1.900000000000001,0.0
1.950000000000001,0.0
2.000000000000001,0.0
2.0500000000000007,0.0
2.1000000000000005,0.0
2.1500000000000004,3.76
2.2,8.84
2.25,11.62
2.3,13.25
2.3499999999999996,14.07
2.3999999999999995,14.56
2.4499999999999993,14.89
2.499999999999999,15.22
2.549999999999999,15.38
2.5999999999999988,15.38
2.6499999999999986,15.38
2.6999999999999984,15.38
2.7499999999999982,15.54
2.799999999999998,15.54
2.849999999999998,15.54
2.8999999999999977,15.54
2.9499999999999975,15.54
2.9999999999999973,15.54
3.049999999999997,15.54
3.099999999999997,15.71
3.149999999999997,15.54
3.1999999999999966,15.54
3.2499999999999964,15.71
3.2999999999999963,15.54
3.349999999999996,15.71
3.399999999999996,15.54
3.4499999999999957,15.71
3.4999999999999956,15.71
3.5499999999999954,15.54
3.599999999999995,15.71
3.649999999999995,15.54
3.699999999999995,15.71
3.7499999999999947,15.71
3.7999999999999945,15.54
3.8499999999999943,15.71
3.899999999999994,15.71
3.949999999999994,15.71
3.999999999999994,15.71
4.049999999999994,15.71
4.099999999999993,15.71
4.149999999999993,9.65
4.199999999999993,3.27
4.249999999999993,0.82
4.299999999999993,0.0
4.3499999999999925,0.0
4.399999999999992,0.0
4.449999999999992,0.0
4.499999999999992,0.0
4.549999999999992,0.0
4.599999999999992,0.0
4.6499999999999915,0.0
4.699999999999991,0.0
4.749999999999991,0.0
4.799999999999991,0.0
4.849999999999991,0.0
4.899999999999991,0.0
4.94999999999999,0.0
4.99999999999999,0.0
5.04999999999999,0.0
5.09999999999999,0.0
5.14999999999999,0.0
5.1999999999999895,0.0
5.249999999999989,0.0
5.299999999999989,0.0
5.349999999999989,0.0
5.399999999999989,0.0
5.449999999999989,0.0
5.4999999999999885,0.0
5.549999999999988,0.0
5.599999999999988,0.0
5.649999999999988,0.0
5.699999999999988,0.0
5.749999999999988,0.0
5.799999999999987,0.0
5.849999999999987,0.0
5.899999999999987,0.0
5.949999999999987,0.0
5.999999999999987,0.0
6.0499999999999865,0.0
6.099999999999986,3.44
6.149999999999986,8.18
6.199999999999986,10.14
6.249999999999986,11.29
6.299999999999986,11.78
6.349999999999985,11.94
6.399999999999985,12.11
6.449999999999985,12.27
6.499999999999985,12.11
6.549999999999985,12.27
6.5999999999999845,12.27
6.649999999999984,12.27
6.699999999999984,12.27
6.749999999999984,12.27
6.799999999999984,12.27
6.849999999999984,12.27
6.8999999999999835,12.27
6.949999999999983,12.27
6.999999999999983,12.27
7.049999999999983,12.27
7.099999999999983,12.27
7.149999999999983,12.44
7.199999999999982,12.27
7.249999999999982,12.27
7.299999999999982,12.27
7.349999999999982,12.27
7.399999999999982,12.27
7.4499999999999815,12.44
7.499999999999981,12.27
7.549999999999981,12.27
7.599999999999981,12.27
7.649999999999981,12.44
7.699999999999981,12.27
7.7499999999999805,12.44
7.79999999999998,12.27
7.84999999999998,12.44
7.89999999999998,12.27
7.94999999999998,12.44
7.99999999999998,12.27
8.04999999999998,12.44
8.09999999999998,7.53
8.14999999999998,2.29
8.199999999999982,0.49
8.249999999999982,0.0
8.299999999999983,0.0
8.349999999999984,0.0
8.399999999999984,0.0
8.449999999999985,0.0
8.499999999999986,0.0
8.549999999999986,0.0
8.599999999999987,0.0
8.649999999999988,0.0
