t,vel_izq,i_izq,vel_izq_est,i_izq_est,u_izq,ref_vel_izq,vel_der,i_der,vel_der_est,i_der_est,u_der,ref_vel_der
7.325000000000037,0.0,0.5747020159888001,-0.11567758709114677,0.3845744421312121,-2.3550558984741254,-2.137500047683716,0.0,0.9577668801446001,0.035110150299039314,1.2010998269059943,1.4366175378984045,1.6124999523162842
7.350000000000037,0.0,0.5747020159888001,-0.11557208253537239,0.38062447788133935,-2.3539868106972617,-2.137500047683716,0.0,1.1494040319776002,0.03487860484773473,1.2070211085237965,1.4350813650332421,1.6124999523162842
7.375000000000037,0.0,0.9577668801446001,-0.13037844867464712,0.45033126911884286,-2.649288185679648,-2.4000000953674316,0.0,1.1494040319776002,0.021452877807307133,1.2086632357005724,1.1500611562395224,1.350000023841858
7.400000000000038,0.0,0.9344143747573,-0.13165579462635155,0.4981515750781703,-2.662231110656125,-2.4000000953674316,0.0,1.1213391376108002,0.021810222869546557,1.1995248970315915,1.1524319382428827,1.350000023841858
7.425000000000038,0.0,0.9577668801446001,-0.1327845579668034,0.540411136858526,-2.6736689815306334,-2.4000000953674316,0.0,0.9577668801446001,0.023118852928135945,1.1660594712760748,1.1611139571511009,1.350000023841858
7.450000000000038,0.0,0.9577668801446001,-0.13367498432614808,0.5737476336642469,-2.6826917571822366,-2.4000000953674316,0.0,0.9577668801446001,0.024173110717197754,1.1390990743825236,1.168108360190011,1.350000023841858
7.475000000000039,0.0,1.1213391376108002,-0.13522613212647908,0.6318208465761121,-2.698409712793579,-2.4000000953674316,0.0,0.9344143747573,0.02516816875877583,1.1136525849076604,1.1747100064497202,1.350000023841858
7.500000000000039,0.0,1.1494040319776002,-0.13659538010544817,0.6830838680819464,-2.712284438320971,-2.4000000953674316,0.0,1.1494040319776002,0.024628199026185127,1.1274611604316054,1.17112761324575,1.350000023841858
7.525000000000039,0.0,1.3409364640555002,-0.13866932526770379,0.7607300047724391,-2.7332999542032628,-2.4000000953674316,0.0,0.9577668801446001,0.025389069245550597,1.108003525579735,1.176175556006955,1.350000023841858
7.55000000000004,0.0,1.1494040319776002,-0.13931154913605281,0.7847739845779482,-2.739807639468231,-2.4000000953674316,0.0,0.9577668801446001,0.02600204107053721,1.0923280770721076,1.1802422767273852,1.350000023841858
7.57500000000004,0.0,1.1494040319776002,-0.13981816566876148,0.8037411010010936,-2.7449412333560717,-2.4000000953674316,0.0,1.1494040319776002,0.025299982754495368,1.1102817227933104,1.1755845176191717,1.350000023841858
7.6000000000000405,0.0,1.1213391376108002,-0.14007218914646202,0.8132514193256005,-2.7475152730988723,-2.4000000953674316,0.0,0.9344143747573,0.026075998756068638,1.0904367668289847,1.1807329440630427,1.350000023841858
7.625000000000041,0.0,1.3409364640555002,-0.1414120091365109,0.8634128050645014,-2.761091832747461,-2.4000000953674316,0.0,0.7662344480667,0.027750671660279138,1.0476105751389901,1.191843449835054,1.350000023841858
