Index,tiempo,CorrienteD_mA,RPMD,CorrienteI_mA,RPMI
0.0,0.0,0.00362,0.0010471999999999999,0.0030299999999999997,0.0
0.0025000000000000005,0.05,0.00362,0.0,0.0030299999999999997,0.0
0.005000000000000001,0.1,0.00362,0.0,0.0030299999999999997,0.0
0.0075000000000000015,0.15000000000000002,0.0035800000000000003,0.0,0.0030299999999999997,0.0
0.010000000000000002,0.2,0.0035800000000000003,0.0,0.0030299999999999997,0.0
0.0125,0.25,0.0035800000000000003,0.0,0.0030299999999999997,0.0
0.015,0.3,0.0035800000000000003,0.0,0.0030299999999999997,0.0
0.017499999999999998,0.35,0.0035800000000000003,0.0,0.003,0.0
0.02,0.39999999999999997,0.0035800000000000003,0.0,0.003,0.0
0.0225,0.44999999999999996,0.0035800000000000003,0.0,0.003,0.0
0.024999999999999998,0.49999999999999994,0.0035800000000000003,0.0,0.003,0.0
0.027499999999999997,0.5499999999999999,0.0035800000000000003,0.0,0.003,0.0
0.03,0.6,0.0035800000000000003,0.0,0.003,0.0
0.0325,0.65,0.00362,0.0,0.003,0.0
0.035,0.7000000000000001,0.00362,0.0,0.003,0.0
0.037500000000000006,0.7500000000000001,0.00362,0.0,0.003,0.0
0.04000000000000001,0.8000000000000002,0.00362,0.0,0.003,0.0
0.04250000000000001,0.8500000000000002,0.00362,0.0,0.0029500000000000004,0.0
0.04500000000000001,0.9000000000000002,0.00362,0.0,0.0029500000000000004,0.0
0.047500000000000014,0.9500000000000003,0.00362,0.0,0.0029500000000000004,0.0
0.05000000000000002,1.0000000000000002,0.00362,0.0,0.0029500000000000004,0.0
0.05250000000000002,1.0500000000000003,0.00362,0.0,0.0029500000000000004,0.0
0.05500000000000002,1.1000000000000003,0.00362,0.0,0.0029500000000000004,0.0
0.05750000000000002,1.1500000000000004,0.0036,0.0,0.0029500000000000004,0.0
0.060000000000000026,1.2000000000000004,0.0036,0.0,0.0029500000000000004,0.0
0.06250000000000003,1.2500000000000004,0.0036,0.0,0.0029500000000000004,0.0
0.06500000000000003,1.3000000000000005,0.0036,0.0,0.0029500000000000004,0.0
0.06750000000000003,1.3500000000000005,0.0036,0.0,0.003,0.0
0.07000000000000003,1.4000000000000006,0.0036,0.0,0.003,0.0
0.07250000000000004,1.4500000000000006,0.0036,0.0,0.003,0.0
0.07500000000000004,1.5000000000000007,0.0036,0.0,0.003,0.0
0.07750000000000004,1.5500000000000007,0.0036,0.0,0.003,0.0
0.08000000000000004,1.6000000000000008,0.0036,0.0,0.003,0.0
0.08250000000000005,1.6500000000000008,0.0036,0.0,0.003,0.0
0.08500000000000005,1.7000000000000008,0.0036,0.0,0.003,0.0
0.08750000000000005,1.7500000000000009,0.0036,0.0,0.003,0.0
0.09000000000000005,1.800000000000001,0.0036,0.0,0.003,0.0
0.09250000000000005,1.850000000000001,0.0036,0.0,0.0029500000000000004,0.0
0.09500000000000006,1.900000000000001,0.0036,0.0,0.0029500000000000004,0.0
0.09750000000000006,1.950000000000001,0.0036,0.0,0.0029500000000000004,0.0
0.10000000000000005,2.000000000000001,0.0036,0.0,0.0029500000000000004,0.0
0.10250000000000004,2.0500000000000007,0.0036,0.0,0.0029500000000000004,0.0
0.10500000000000004,2.1000000000000005,0.0036,0.0,0.0029500000000000004,0.0
0.10750000000000003,2.1500000000000004,0.0036,0.0,0.0029500000000000004,0.0
0.11000000000000001,2.2,0.0036,0.0,0.0029500000000000004,0.0
0.1125,2.25,0.0036,0.0,0.0029500000000000004,0.0
0.11499999999999999,2.3,0.0036,0.0,0.0029500000000000004,0.0
0.1175,2.3499999999999996,0.0036,0.0,0.003,0.0
0.11999999999999998,2.3999999999999995,0.0036,0.0,0.003,0.0
0.12249999999999997,2.4499999999999993,0.0036,0.0,0.003,0.0
0.12499999999999996,2.499999999999999,0.0036,0.0,0.003,0.0
0.12749999999999995,2.549999999999999,0.0036,0.0,0.003,0.0
0.12999999999999995,2.5999999999999988,0.0036,0.0,0.003,0.0
0.13249999999999992,2.6499999999999986,0.0036,0.0,0.003,0.0
0.13499999999999993,2.6999999999999984,0.0036,0.0,0.003,0.0
0.13749999999999993,2.7499999999999982,0.0036,0.0,0.003,0.0
0.1399999999999999,2.799999999999998,0.0036,0.0,0.003,0.0
0.1424999999999999,2.849999999999998,0.0036,0.0,0.00297,0.0
0.14499999999999988,2.8999999999999977,0.0036,0.0,0.00297,0.0
0.14749999999999988,2.9499999999999975,0.0036,0.0,0.00297,0.0
0.14999999999999988,2.9999999999999973,0.0036,0.0,0.00297,0.0
0.15249999999999986,3.049999999999997,0.0036,0.0,0.00297,0.0
0.15499999999999986,3.099999999999997,0.0036,0.0,0.00297,0.0
0.15749999999999986,3.149999999999997,0.0036,0.0,0.00297,0.0
0.15999999999999984,3.1999999999999966,0.0036,0.0,0.00297,0.0
0.16249999999999984,3.2499999999999964,0.0036,0.0,0.00297,0.0
0.1649999999999998,3.2999999999999963,0.0036,0.0,0.00297,0.0
0.16749999999999982,3.349999999999996,0.0036,0.0,0.003,0.0
0.16999999999999982,3.399999999999996,0.0036,0.0,0.003,0.0
0.1724999999999998,3.4499999999999957,0.0036,0.0,0.003,0.0
0.1749999999999998,3.4999999999999956,0.0036,0.0,0.003,0.0
0.17749999999999977,3.5499999999999954,0.0035800000000000003,0.0,0.003,0.0
0.17999999999999977,3.599999999999995,0.0035800000000000003,0.0,0.003,0.0
0.18249999999999977,3.649999999999995,0.0035800000000000003,0.0,0.003,0.0
0.18499999999999975,3.699999999999995,0.0035800000000000003,0.0,0.003,0.0
